DrawNumber,DrawDate,N1,N2,N3,N4,N5,N6,N7,Win,Double_Win
2255,17/05/11,3,12,15,16,27,34,2,0,0
2256,21/05/11,2,16,17,31,35,36,5,0,0
2257,24/05/11,7,12,18,23,34,36,4,1,0
2258,28/05/11,6,10,16,19,27,32,5,0,0
2259,31/05/11,2,9,20,22,23,33,2,0,0
2260,04/06/11,5,9,12,16,20,26,1,0,0
2261,08/06/11,8,11,13,16,32,37,7,0,0
2262,11/06/11,2,8,12,17,26,35,7,0,0
2263,14/06/11,1,3,4,18,24,26,3,0,0
2264,18/06/11,4,16,19,29,30,32,6,0,0
2265,21/06/11,5,16,19,25,28,34,2,0,0
2266,25/06/11,6,10,16,20,23,30,1,0,1
2267,28/06/11,21,24,30,32,36,37,4,1,0
2268,02/07/11,4,11,17,24,25,30,3,0,0
2269,05/07/11,1,6,19,23,33,37,3,1,0
2270,09/07/11,3,11,15,17,22,23,1,0,0
2271,12/07/11,1,2,9,21,22,36,3,0,0
2272,16/07/11,7,11,17,21,23,37,2,0,0
2273,19/07/11,1,16,20,24,29,36,5,1,0
2274,23/07/11,15,17,23,24,27,31,2,0,0
2275,26/07/11,1,4,11,26,28,34,7,0,0
2276,30/07/11,1,5,13,24,30,37,6,1,0
2277,02/08/11,7,10,14,18,20,36,2,0,0
2278,06/08/11,1,2,10,15,25,32,6,0,0
2279,09/08/11,9,15,17,18,25,26,3,0,0
2280,13/08/11,4,7,12,18,20,36,1,0,0
2281,16/08/11,4,6,8,32,35,37,1,0,0
2282,20/08/11,17,18,24,30,36,37,2,0,0
2283,23/08/11,16,17,21,28,33,37,4,0,0
2284,27/08/11,8,12,15,23,34,35,3,0,1
2285,30/08/11,1,2,3,5,22,28,5,0,0
2286,03/09/11,9,16,18,20,21,25,6,0,0
2287,06/09/11,6,7,12,18,25,26,1,0,0
2288,10/09/11,10,11,14,19,20,29,2,0,0
2289,13/09/11,15,19,29,31,34,35,7,0,0
2290,17/09/11,15,18,21,29,31,34,6,1,0
2291,20/09/11,9,13,16,17,34,35,5,0,0
2292,24/09/11,4,15,16,17,35,37,3,0,0
2293,27/09/11,3,5,10,11,34,36,6,0,0
2294,02/10/11,12,16,24,29,33,35,2,0,0
2295,04/10/11,5,8,10,16,19,31,7,0,0
2296,09/10/11,3,9,12,17,24,30,2,0,2
2297,11/10/11,1,3,4,7,20,34,3,0,0
2298,15/10/11,7,12,15,27,33,37,3,0,0
2299,18/10/11,2,4,17,20,26,34,4,0,0
2300,23/10/11,9,18,20,31,32,37,3,0,0
2301,25/10/11,10,13,20,35,36,37,1,0,1
2302,29/10/11,2,7,9,14,23,24,6,0,0
2303,01/11/11,2,15,17,18,20,34,2,0,0
2304,05/11/11,6,15,20,25,28,30,5,0,0
2305,08/11/11,1,2,14,15,18,32,1,0,0
2306,12/11/11,3,12,16,21,26,36,1,0,0
2307,15/11/11,2,4,5,7,24,33,1,1,0
2308,19/11/11,15,19,22,29,33,37,7,1,0
2309,22/11/11,15,16,20,24,28,35,6,0,0
2310,26/11/11,2,7,10,20,23,32,7,0,1
2311,29/11/11,12,21,25,27,29,31,2,0,0
2312,03/12/11,7,8,20,26,30,34,2,0,0
2313,06/12/11,6,13,15,17,19,35,3,0,0
2314,11/12/11,3,10,23,27,32,37,6,1,0
2315,13/12/11,2,4,5,11,15,24,7,0,0
2316,17/12/11,6,7,22,30,31,36,6,0,0
2317,20/12/11,4,16,21,26,28,30,2,1,0
2318,24/12/11,1,3,13,14,17,36,5,0,0
2319,27/12/11,5,6,7,12,33,36,7,0,0
2320,31/12/11,2,3,8,15,19,34,6,0,0
2321,03/01/12,7,25,27,31,32,34,7,0,0
2322,05/01/12,3,23,25,28,29,33,4,0,1
2323,07/01/12,1,2,20,21,25,28,1,0,0
2324,10/01/12,7,10,16,21,25,28,5,0,0
